Address,Port,Address Type,Latency (ms),Latest fetch,Online since
104.248.30.202,8333,IPv4,5.095628415300546,1671495300,1639958400
104.248.38.48,8333,IPv4,5.0344827586206895,1626821100,1616112000
104.248.57.27,8333,IPv4,81.1172638436482,1626821100,1598400000
104.248.59.156,8333,IPv4,81.06515580736544,1626909300,1595289600
104.248.60.35,8333,IPv4,85.62886597938144,1671572700,1653955200
104.248.90.45,8333,IPv4,17.337047353760447,1671496200,1639958400
104.248.94.72,8333,IPv4,19.594736842105263,1671504300,1654128000
104.250.128.20,8333,IPv4,153.0,1671572700,1671062400
104.33.227.51,8333,IPv4,183.96153846153845,1671496200,1667520000
104.35.215.79,8333,IPv4,168.12765957446808,1626821100,1618099200
104.35.22.210,8333,IPv4,177.1764705882353,1671505200,1663113600
104.36.175.37,8333,IPv4,107.66666666666667,1626908400,1626566400
104.40.222.165,8333,IPv4,12.323232323232324,1626821100,1615939200
104.52.169.164,8333,IPv4,129.126582278481,1626909300,1619481600
104.52.69.170,8333,IPv4,118.5688622754491,1671504300,1656979200
104.57.178.131,8333,IPv4,134.98356164383563,1671505200,1639958400
104.6.130.18,8333,IPv4,152.8,1626909300,1625961600
104.60.247.230,8333,IPv4,158.35774647887325,1626821100,1595203200
104.62.145.108,8333,IPv4,937.2588235294118,1671496200,1664150400
104.62.244.170,8333,IPv4,123.55649717514125,1671496200,1639958400
104.62.47.181,8333,IPv4,131.9808219178082,1671495300,1639958400
104.63.241.143,8333,IPv4,160.39285714285714,1626908400,1623974400
104.7.216.111,8333,IPv4,136.19230769230768,1671572700,1668470400
104.9.30.99,8333,IPv4,289.3333333333333,1626822000,1626134400
105.233.37.163,8333,IPv4,164.408,1626821100,1614297600
106.14.224.228,9333,IPv4,217.28758169934642,1626820200,1612915200
106.14.241.0,8333,IPv4,447.4769874476987,1626846300,1602979200
106.157.214.199,8333,IPv4,278.96153846153845,1626820200,1623974400
106.163.158.127,8333,IPv4,272.4836065573771,1626821100,1615680000
106.167.184.22,8333,IPv4,266.92896174863387,1671505200,1639958400
106.240.234.115,8333,IPv4,272.768115942029,1671504300,1665446400
106.54.171.167,8333,IPv4,224.98876404494382,1626820200,1610150400
106.69.82.231,8333,IPv4,305.0,1671504300,1671408000
106.71.140.79,8333,IPv4,338.97058823529414,1626821100,1623283200
106.72.36.96,58590,IPv4,270.95652173913044,1626846300,1620172800
106.72.39.130,9600,IPv4,260.2352941176471,1671495300,1667088000
107.10.229.120,8333,IPv4,126.16470588235295,1671505200,1659657600
107.11.115.68,8333,IPv4,129.24324324324326,1626845400,1619913600
107.11.51.43,8333,IPv4,126.9504132231405,1626845400,1615593600
107.11.96.20,8333,IPv4,126.03225806451613,1671496200,1665964800
107.13.141.32,8333,IPv4,128.5,1626845400,1625270400
107.13.211.119,8333,IPv4,123.6,1671504300,1671062400
107.136.189.112,8333,IPv4,219.83620689655172,1671571800,1651017600
107.141.227.162,8333,IPv4,115.84313725490196,1671504300,1667001600
107.142.165.38,8333,IPv4,145.0,1626846300,1625097600
107.143.246.110,8333,IPv4,118.24641833810888,1626909300,1595289600
107.15.27.1,8333,IPv4,137.5,1626845400,1625011200
107.150.41.179,8333,IPv4,149.53125,1626909300,1615075200
107.152.234.82,8333,IPv4,144.41964285714286,1626846300,1616803200
107.155.108.246,8333,IPv4,130.56521739130434,1626845400,1624492800
107.155.69.26,8333,IPv4,126.69117647058823,1626822000,1602288000
107.161.22.168,8333,IPv4,106.575,1671488100,1667952000
107.161.26.138,8333,IPv4,155.12765957446808,1671572700,1667433600
107.172.176.186,8333,IPv4,154.66666666666666,1671503400,1664236800
107.173.166.43,8333,IPv4,117.82352941176471,1626845400,1624924800
107.174.245.119,8333,IPv4,215.19402985074626,1626845400,1608249600
107.178.98.66,8333,IPv4,146.4468085106383,1626845400,1618358400
107.180.79.29,8333,IPv4,98.35643564356435,1671504300,1658534400
107.181.189.34,8333,IPv4,176.864406779661,1626909300,1621209600
107.181.58.56,8333,IPv4,124.77777777777777,1626908400,1625961600
107.190.46.16,8333,IPv4,118.5,1626909300,1623628800
107.190.47.97,8833,IPv4,121.76436781609195,1626820200,1595203200
107.191.116.103,8333,IPv4,145.20454545454547,1626821100,1595203200
107.191.33.82,8333,IPv4,82.01086956521739,1626845400,1618099200
107.191.33.83,8333,IPv4,83.2530487804878,1671496200,1639958400
107.195.166.98,8333,IPv4,112.21176470588236,1671496200,1663891200
107.200.45.188,8333,IPv4,160.5,1626821100,1625875200
107.219.74.135,8333,IPv4,130.5566037735849,1626821100,1616976000
107.223.161.13,8333,IPv4,138.75,1626846300,1624665600
107.23.66.252,20008,IPv4,90.4280442804428,1626909300,1602633600
107.4.112.187,8333,IPv4,125.66666666666667,1626820200,1626134400
108.16.199.238,8333,IPv4,108.37903225806451,1671496200,1657152000
108.16.37.50,8333,IPv4,102.42028985507247,1671571800,1664755200
108.161.125.139,8333,IPv4,126.16666666666667,1626820200,1626048000
108.163.129.111,8333,IPv4,95.75357142857143,1671496200,1645660800
108.167.11.88,8333,IPv4,147.77464788732394,1626846300,1620259200
108.168.125.21,8333,IPv4,115.6923076923077,1626846300,1625184000
108.170.10.173,8333,IPv4,142.0,1626846300,1626307200
