Address,Latency (ms)
124.248.128.23:8333,285.56
128.199.127.0:8333,179.33125
128.199.178.41:8333,180.19020172910663
128.199.252.50:8333,178.77292576419214
128.199.4.104:8333,168.03184713375796
128.199.54.69:8333,18.470588235294116
128.199.6.24:8333,167.90683229813664
128.199.98.15:8333,179.27564102564102
128.2.12.38:8333,123.50964187327824
129.13.189.210:8333,9.465116279069768
129.146.52.174:8333,148.57857142857142
129.146.71.46:8333,150.61764705882354
129.159.197.52:8333,5.251798561151079
13.126.144.12:8333,125.97245179063361
13.127.94.172:8333,122.66666666666667
13.209.215.189:8333,261.9616438356164
13.212.75.252:8333,166.3779761904762
13.213.211.229:8333,168.6878453038674
13.215.80.204:8333,167.3254716981132
13.228.23.177:8333,157.72727272727272
13.228.53.43:8333,170.56043956043956
13.229.133.26:8333,166.12011173184356
13.229.145.68:8333,171.11153846153846
13.48.127.4:8333,26.307692307692307
13.82.198.161:8335,124.41643835616438
13.88.177.3:8333,160.01373626373626
130.234.178.83:5941,31.27777777777778
130.45.62.168:8333,148.33333333333334
130.61.30.186:8333,5.386111111111111
131.130.126.82:8333,12.727272727272727
131.188.43.61:8333,9.53125
133.125.50.180:8333,256.68587896253604
134.101.223.1:8333,12.0
134.122.106.46:8333,21.367403314917127
134.122.38.34:8333,109.59748427672956
134.122.40.106:8333,109.2760736196319
134.209.198.36:8333,15.059171597633137
134.209.20.197:8333,21.5
134.209.215.11:8333,85.45394736842105
135.125.188.190:8333,6.0
135.180.128.90:8333,156.23076923076923
135.181.0.47:8333,25.922865013774103
135.181.109.135:8333,31.253164556962027
135.181.109.137:8333,31.36551724137931
135.181.113.81:8333,25.8732782369146
135.181.116.234:21002,26.06614785992218
135.181.117.8:8333,25.515151515151516
135.181.137.135:18333,26.23497267759563
135.181.141.120:8333,26.043715846994534
135.181.165.144:8333,25.286713286713287
135.181.165.182:8333,26.3121546961326
135.181.197.116:8333,26.46301369863014
135.181.2.188:8333,25.20472440944882
135.181.20.182:8333,25.53846153846154
135.181.208.163:8333,25.85164835164835
135.181.219.223:8333,26.07792207792208
136.243.146.69:8333,1.0296052631578947
136.243.147.44:8333,1.0116279069767442
136.243.176.210:8333,1.2935153583617747
136.243.57.208:8333,1.0129870129870129
136.243.72.159:8333,1.016260162601626
136.244.65.212:8333,22.38736263736264
136.25.198.59:8333,139.9047619047619
136.25.9.167:8333,161.0
136.26.5.75:8333,160.7814569536424
136.29.109.180:8333,128.875
136.32.173.8:8333,119.59375
136.32.173.8:8335,123.84615384615384
136.32.240.6:8333,120.79938271604938
136.35.169.237:8333,125.41322314049587
136.36.50.59:8333,143.8
136.37.188.153:8333,120.05448717948718
136.49.183.215:7333,130.26153846153846
136.49.201.24:8333,153.78971962616822
136.55.13.9:8333,112.53333333333333
136.56.165.207:8333,124.13157894736842
137.184.182.6:8333,166.82926829268294
137.184.186.227:8333,168.14285714285714
137.184.186.230:8333,167.0
137.184.186.236:8333,166.9047619047619
137.184.2.124:8333,166.96732026143792
137.184.224.249:8333,166.5
137.74.0.3:8333,24.431318681318682
138.197.166.184:8332,107.59541984732824
138.197.173.43:8333,108.20454545454545
138.197.177.216:8333,5.945054945054945
138.197.185.251:8332,5.006944444444445
138.197.233.230:8333,166.5252100840336
138.201.28.24:8333,1.05625
138.201.31.30:8333,30.949685534591193
138.207.211.106:8333,126.65020576131687
138.219.43.168:8333,235.74380165289256
138.68.11.174:8333,166.54246575342466
138.68.227.57:8333,167.28333333333333
138.88.64.2:8333,119.0
139.162.14.9:8333,181.02932551319648
139.162.151.61:8333,5.700787401574803
139.162.184.147:8333,101.57333333333334
139.162.41.193:8333,189.81632653061226
139.177.184.116:8333,180.3130081300813
139.19.87.30:8333,10.071428571428571
139.59.129.147:8333,5.019283746556474
139.59.145.220:8333,5.092105263157895
139.59.92.87:8333,166.49689440993788
139.99.69.57:5501,177.25
14.199.102.151:8333,186.07692307692307
14.2.99.34:8333,335.8
14.202.76.152:8333,309.5625
140.186.1.209:8333,134.78571428571428
140.190.21.8:8333,119.88372093023256
141.156.192.51:8333,98.0
141.156.89.238:8333,104.37234042553192
141.157.43.171:8333,386.91603053435114
141.239.159.95:8333,318.5
141.94.253.80:8333,47.11764705882353
141.94.28.160:8333,13.0
141.94.74.134:8333,13.404040404040405
141.94.74.135:8333,13.351535836177474
141.95.45.80:30034,6.032069970845481
141.95.97.196:8333,6.259541984732825
141.98.219.12:8333,108.07317073170732
142.114.197.56:8333,110.92
142.116.210.201:8333,101.7
142.126.19.218:8333,99.5
142.126.194.98:8333,105.6875
142.132.168.26:8333,30.980456026058633
142.132.171.166:8333,3.2866666666666666
142.132.218.251:8333,1.0769230769230769
142.134.87.112:8333,123.96666666666667
142.254.82.46:8333,162.775
142.93.109.28:8333,5.189041095890411
142.93.200.9:8333,86.11506849315069
142.93.210.205:8333,212.73378839590444
142.93.23.235:8333,167.51639344262296
142.93.47.188:8332,21.944444444444443
143.110.147.13:8333,167.8684210526316
143.110.157.215:8333,167.7439024390244
143.110.159.19:8333,168.0314465408805
143.110.171.5:8333,23.379746835443036
143.110.228.219:8333,168.2611464968153
143.110.238.129:8333,167.82208588957056
143.110.240.102:8333,169.91975308641975
143.198.127.146:8333,83.8018018018018
143.198.191.235:8333,86.63661202185793
143.244.138.170:8333,132.57142857142858
143.244.169.83:8332,84.45454545454545
144.126.208.48:8332,167.44897959183675
144.130.98.41:8333,312.94871794871796
144.217.252.18:8333,93.75
144.76.98.163:8333,1.032258064516129
145.239.134.39:8333,34.0
145.239.144.2:8333,7.977777777777778
145.239.95.219:8333,25.254794520547946
145.40.51.52:8333,19.020833333333332
145.53.202.234:8333,14.334254143646408
146.0.75.58:8333,10.935779816513762
146.190.237.98:8333,15.970731707317073
146.4.124.129:8333,15.897297297297298
146.70.49.38:8333,194.73101265822785
147.135.10.228:8333,93.34328358208955
147.135.37.208:8333,182.14093959731542
147.135.70.192:8333,93.36986301369863
147.139.1.27:8333,118.78632478632478
147.182.210.218:8333,86.19505494505495
148.113.135.164:8333,94.08695652173913
148.251.190.151:8333,1.0769230769230769
148.251.91.87:8333,4.790697674418604
148.66.58.123:8333,211.224043715847
149.102.139.44:8333,16.86
149.106.148.125:8333,62.203539823008846
149.129.234.18:8333,174.97101449275362
149.167.99.190:8333,1560.6473684210525
149.202.10.48:8335,8.905405405405405
149.248.1.254:8333,150.58448753462605
149.75.48.92:8333,112.86363636363636
15.204.182.52:8333,93.68131868131869
15.207.104.74:8333,121.23863636363636
15.235.115.21:8333,93.52380952380952
15.235.145.1:8333,172.23809523809524
15.235.54.217:8333,94.31868131868131
15.235.82.178:8333,95.4
150.136.62.109:8333,96.125
150.230.20.192:8333,16.925233644859812
151.237.140.232:8333,40.325
151.30.208.253:8333,22.25
151.62.26.245:8333,40.333333333333336
152.117.109.164:8333,125.06756756756756
152.44.159.146:8333,172.81333333333333
153.151.217.194:9740,275.90645161290325
154.23.178.80:8333,208.125
